angle,x,y
45.0,130.0,104.0
45.0,133.0,107.0
45.0,136.0,110.0
45.0,139.0,113.0
45.0,142.0,116.0
45.0,145.0,119.0
45.0,148.0,122.0
45.0,151.0,125.0
45.0,154.0,128.0
45.0,157.0,131.0
45.0,160.0,134.0
45.0,163.0,137.0
45.0,166.0,140.0
45.0,169.0,143.0
45.0,172.0,146.0
45.0,175.0,149.0
45.0,178.0,152.0
45.0,181.0,155.0
45.0,184.0,158.0
45.0,187.0,161.0
45.0,190.0,164.0
45.0,193.0,167.0
45.0,196.0,170.0
45.0,199.0,173.0
45.0,202.0,176.0
45.0,205.0,179.0
45.0,208.0,182.0
45.0,211.0,185.0
45.0,214.0,188.0
45.0,217.0,191.0
45.0,220.0,194.0
45.0,223.0,197.0
45.0,226.0,200.0
45.0,229.0,203.0
45.0,232.0,206.0
45.0,235.0,209.0
45.0,238.0,212.0
45.0,241.0,215.0
45.0,244.0,218.0
45.0,247.0,221.0
45.0,250.0,224.0
45.0,253.0,227.0
45.0,256.0,230.0
45.0,259.0,233.0
45.0,262.0,236.0
45.0,265.0,239.0
45.0,268.0,242.0
45.0,271.0,245.0
45.0,274.0,248.0
45.0,277.0,251.0
45.0,280.0,254.0
45.0,283.0,257.0
45.0,286.0,260.0
45.0,289.0,263.0
45.0,292.0,266.0
45.0,295.0,269.0
45.0,298.0,272.0
45.0,301.0,275.0
45.0,304.0,278.0
45.0,307.0,281.0
45.0,310.0,284.0
45.0,313.0,287.0
45.0,316.0,290.0
45.0,319.0,293.0
45.0,322.0,296.0
45.0,325.0,299.0
45.0,328.0,302.0
45.0,331.0,305.0
45.0,334.0,308.0
45.0,337.0,311.0
45.0,340.0,314.0
45.0,343.0,317.0
45.0,346.0,320.0
45.0,349.0,323.0
45.0,352.0,326.0
45.0,355.0,329.0
45.0,358.0,332.0
45.0,361.0,335.0
45.0,364.0,338.0
45.0,367.0,341.0
45.0,370.0,344.0
45.0,373.0,347.0
45.0,376.0,350.0
45.0,379.0,353.0
45.0,382.0,356.0
45.0,385.0,359.0
45.0,388.0,362.0
45.0,391.0,365.0
45.0,394.0,368.0
45.0,397.0,371.0
45.0,400.0,374.0
45.0,403.0,377.0
45.0,406.0,380.0
45.0,409.0,383.0
45.0,412.0,386.0
45.0,415.0,389.0
45.0,418.0,392.0
45.0,421.0,395.0
45.0,424.0,398.0
-45.0,424.0,398.0
-45.0,427.0,395.0
-45.0,430.0,392.0
-45.0,433.0,389.0
-45.0,436.0,386.0
-45.0,439.0,383.0
-45.0,442.0,380.0
-45.0,445.0,377.0
-45.0,448.0,374.0
-45.0,451.0,371.0
-45.0,454.0,368.0
-45.0,457.0,365.0
-45.0,460.0,362.0
-45.0,463.0,359.0
-45.0,466.0,356.0
-45.0,469.0,353.0
-45.0,472.0,350.0
-45.0,475.0,347.0
-45.0,478.0,344.0
-45.0,481.0,341.0
-45.0,484.0,338.0
-45.0,487.0,335.0
-45.0,490.0,332.0
-45.0,493.0,329.0
